Country Name,Country Code,Series Name,Series Code,2021 [YR2021]
Channel Islands,CHI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,67960.7269955768
Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,16247.4010150765
China,CHN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.29784345626831
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,12617.5049863004
Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6182.70709867969
Comoros,COM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.27485394477844
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1577.47084066118
"Congo, Dem. Rep.",COD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.660484790802
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,577.209215199828
"Congo, Rep.",COG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.67454195022583
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2290.38299445343
Costa Rica,CRI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.28171014785767
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,12537.2567461753
Cote d'Ivoire,CIV,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.37276005744934
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2613.37889305378
Croatia,HRV,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.20366954803467
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,17747.7892862107
Cuba,CUB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Curacao,CUW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,7.01665163040161
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,17717.5964802588
Cyprus,CYP,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.61941576004028
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,31552.03515625
Czechia,CZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.05326414108276
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,26822.5141862111
Denmark,DNK,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.03974866867065
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,68007.7566732954
Djibouti,DJI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,3050.30628163732
Dominica,DMA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.46584510803223
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,7668.15813216962
Dominican Republic,DOM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.74731349945068
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,8476.7496882797
Ecuador,ECU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.6913800239563
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,5965.13287054416
"Egypt, Arab Rep.",EGY,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,3886.7224983901
El Salvador,SLV,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.52807998657227
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,4664.31122268385
Equatorial Guinea,GNQ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,7506.66786103709
Eritrea,ERI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Estonia,EST,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.91065263748169
